RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
963,15762993,Trevisano,796,Spain,Male,32,5,102773.15,2,0,1,117832.88,0
964,15571193,Morrison,579,Germany,Male,42,0,144386.32,1,1,1,22497.1,1
965,15653521,Onuora,850,Germany,Female,40,7,104449.8,1,1,1,747.88,0
966,15802220,Ikenna,599,Spain,Male,35,6,137102.65,1,0,0,76870.81,0
967,15644132,Mancini,724,France,Female,30,9,142475.87,1,1,1,107848.24,0
968,15600832,Moss,508,France,Female,43,9,0,1,1,0,103726.71,0
969,15797919,Ting,773,Spain,Male,37,2,103195.2,2,1,0,178268.36,0
970,15603743,Tai,526,France,Male,28,1,112070.44,1,0,1,126281.83,0
971,15579714,Pan,542,France,Female,29,7,0,2,0,1,196651.72,0
972,15634295,Wilson,470,France,Male,35,1,96473.59,1,0,0,5962.3,0
973,15786680,Bianchi,805,Spain,Male,37,5,0,2,1,0,21928.81,0
974,15623499,Holman,548,Germany,Male,49,9,108437.89,1,0,0,127022.87,1
975,15691823,Obidimkpa,672,France,Male,37,5,153195.59,1,1,1,162763.01,0
976,15809279,Wallace,773,France,Male,45,8,96877.21,1,1,1,113950.51,0
977,15758039,Ash,614,France,Male,44,6,0,2,0,1,104930.46,0
978,15807163,Ku,537,France,Female,38,10,0,1,0,0,52337.97,1
979,15631639,Uspensky,704,France,Female,40,6,95452.89,1,0,1,179964.55,0
980,15713770,Shih,586,Spain,Male,41,3,63873.56,1,1,0,83753.64,0
981,15698167,Kumm,677,France,Female,24,0,148298.59,2,0,0,182913.95,0
982,15781710,Carey,558,Spain,Female,31,7,0,2,1,0,166720.28,0
983,15801296,Farber,634,Germany,Female,37,7,143258.85,2,1,0,192721.98,0
984,15704378,Calabrese,655,Germany,Male,37,9,121342.24,1,1,1,180241.44,0
985,15767891,Findlay,619,Germany,Female,28,6,99152.73,2,1,0,48475.12,0
986,15640667,Yu,662,France,Female,41,4,0,2,1,0,126551.48,0
987,15702145,Edments,705,Spain,Male,33,7,68423.89,1,1,1,64872.55,0
988,15679738,Brown,527,Spain,Female,35,8,0,1,1,0,98031.53,1
989,15636634,Lindon,630,Germany,Female,25,7,79656.81,1,1,0,93524.22,0
990,15809227,Chukwudi,850,France,Male,35,2,0,2,1,1,56991.66,0
991,15601811,Caldwell,668,France,Female,53,10,110240.04,1,0,0,183980.56,1
992,15625494,Li Fonti,573,France,Female,32,9,125321.84,2,1,1,130234.63,0
993,15723737,Pitcher,680,France,Male,27,3,0,1,1,0,32454.26,0
994,15682955,Capon,758,France,Female,32,2,84378.9,1,1,1,75396.43,0
995,15758856,Kable,597,France,Male,45,7,0,2,0,0,167756.45,0
996,15746065,Lo Duca,580,Germany,Male,35,10,136281.41,2,1,1,24799.47,0
997,15783865,Kulikova,622,France,Male,59,5,119380.37,1,1,1,60429.43,0
998,15745455,Navarrete,638,Germany,Male,62,4,108716.59,2,1,1,74241.09,0
999,15583033,Huguley,640,France,Female,20,4,0,2,0,1,78310.82,0
1000,15644212,Han,644,Spain,Male,28,0,0,2,1,0,119419.37,0
1001,15735688,Horsley,753,France,Female,31,6,106596.29,1,0,0,91305.77,0
1002,15658577,Massie,629,France,Female,37,10,99546.25,3,0,1,25136.95,1
1003,15606887,Singh,775,France,Female,30,5,0,1,1,0,193880.6,1
1004,15783026,H?,701,France,Female,41,2,0,1,1,0,47856.78,0
1005,15579892,Doyle,708,Spain,Male,19,7,112615.86,1,1,1,4491.77,0
1006,15802088,Grant,521,Spain,Female,22,10,0,1,1,1,101311.95,0
1007,15589323,Law,636,France,Female,24,9,0,2,0,1,38830.72,0
1008,15636395,King,529,France,Female,31,5,0,2,1,0,26817.23,0
1009,15712772,Onwubiko,757,France,Male,28,3,75381.15,1,1,1,199727.72,0
1010,15700937,Romano,767,Spain,Female,24,5,0,2,1,1,67445.85,0
1011,15766659,Okwudilichukwu,525,Spain,Male,33,5,0,2,1,0,161002.29,0
1012,15814033,Milano,759,Spain,Male,38,1,0,2,1,0,20778.39,0
1013,15783007,Parker,520,Germany,Female,45,1,123086.39,1,1,1,41042.4,1
1014,15654183,Aitken,738,France,Female,26,3,0,2,1,0,67484.16,0
1015,15609899,Obiora,548,Spain,Male,37,4,0,1,1,0,121763.68,0
1016,15747323,Vasilyeva,535,Spain,Male,48,9,109472.47,1,1,0,157358.43,1
1017,15582591,Chiabuotu,615,Spain,Male,59,4,155766.05,1,1,1,110275.17,0
1018,15738835,Slater,850,Germany,Male,38,7,101985.81,2,0,0,43801.27,0
1019,15782404,Hughes,487,France,Female,34,2,96019.5,1,0,0,9085,0
1020,15697480,Menkens,731,France,Male,30,7,0,2,0,1,143086.09,0
1021,15697045,Pisani,726,Spain,Female,35,9,0,2,0,1,100556.98,0
1022,15781234,Y?an,609,France,Female,35,2,147900.43,1,1,0,140000.29,0
1023,15579891,Milani,714,France,Male,52,4,100755.66,1,1,1,186775.25,0
1024,15805690,Chin,694,Spain,Female,35,7,0,1,1,0,133570.43,1
1025,15612139,Fu,786,France,Female,33,0,83036.05,1,0,1,154990.58,1
1026,15568834,Howells,698,Spain,Male,27,6,125427.37,2,0,0,27654.44,0
1027,15709917,Ni,601,France,Female,46,3,98202.76,1,0,0,137763.93,0
1028,15718843,Maslova,769,Spain,Male,41,1,72509.91,1,1,0,25723.73,0
1029,15799494,Forster,850,Germany,Male,44,3,140393.65,2,0,1,186285.52,0
1030,15673439,Sun,646,Spain,Female,50,5,142644.64,2,1,1,142208.5,1
1031,15669011,Bocharova,659,France,Female,44,9,23503.31,1,0,1,169862.01,1
1032,15581388,Y?an,487,Spain,Male,33,8,145729.71,1,1,0,41365.85,0
1033,15743153,Singh,740,Germany,Female,40,2,122295.17,2,1,1,30812.84,0
1034,15579787,Nkemakonam,686,France,Male,39,4,0,2,1,0,155023.93,0
1035,15759966,Chiemenam,612,Spain,Female,36,5,119799.27,2,1,0,159416.58,0
1036,15601045,Angelo,655,Spain,Male,37,8,163708.58,2,0,0,76259.23,0
1037,15764021,Frolov,617,France,Male,34,1,61687.33,2,1,0,105965.25,0
1038,15687218,West,674,France,Female,27,4,79144.34,1,0,1,50743.83,0
1039,15626452,Beatham,711,Spain,Male,32,5,0,2,1,1,147720.27,0
1040,15700964,Pollard,624,Germany,Female,27,7,104848.68,1,1,1,167387.36,0
1041,15768887,Hsing,597,Spain,Male,26,5,0,2,0,1,95159.13,0
1042,15735358,Dowse,682,Spain,Male,46,4,0,1,1,1,4654.28,0
1043,15749472,Lucciano,775,France,Male,45,8,0,1,1,0,130376.68,0
1044,15685872,Godfrey,727,France,Female,29,1,146652.01,1,1,1,173486.39,0
1045,15760851,Gratton,629,France,Male,31,6,0,2,1,0,93881.75,0
1046,15734588,Manning,684,France,Male,46,0,0,2,1,1,36376.97,0
1047,15784594,Mazzi,549,Germany,Female,37,1,130622.34,2,1,1,128499.94,0
1048,15606435,Wall,593,Germany,Male,69,2,187013.13,2,0,1,105898.69,0
1049,15790247,Sims,536,Spain,Male,40,9,0,2,1,1,11959.03,0
1050,15676433,Allan,707,France,Female,36,6,0,1,0,0,98810.78,0
1051,15625905,Griffen,592,Spain,Male,41,0,0,2,1,0,65906.07,0
1052,15626414,Russell,703,France,Male,44,6,98862.54,1,1,0,151516.7,0
1053,15623220,Brown,723,Spain,Female,45,4,0,2,1,0,37214.39,0
1054,15752857,Palerma,452,Germany,Male,52,1,98443.14,2,0,0,92033.98,0
1055,15677908,Gilbert,552,Spain,Male,42,4,0,2,0,0,195692.3,0
1056,15773013,Uvarov,633,France,Female,47,0,0,1,1,1,6342.84,1
1057,15623972,Wisdom,479,Germany,Female,23,9,123575.51,1,0,1,95148.28,0
1058,15738627,Hussain,768,France,Male,25,6,0,2,1,1,21215.67,0
1059,15643392,Woods,742,France,Male,31,4,105239.1,1,1,1,19700.24,0
1060,15684868,Cameron,668,Germany,Male,56,9,110993.79,1,1,0,134396.64,1
1061,15627854,Mai,707,Spain,Male,44,3,0,2,1,1,135077.01,0
1062,15669253,Gibson,754,Spain,Male,39,7,157691.98,2,1,0,133600.89,1
1063,15758023,Grigoryeva,544,Germany,Male,47,5,105245.21,1,0,0,99922.08,1
1064,15574558,Gunter,718,Spain,Male,32,8,0,2,1,1,41399.33,0
1065,15635256,Arcuri,762,France,Male,31,7,117687.35,1,1,1,159344.43,0
1066,15680399,Tung,772,France,Male,23,2,0,2,1,0,18364.19,0
1067,15674720,Smith,691,Germany,Female,37,7,123067.63,1,1,1,98162.44,1
1068,15580249,Lori,502,France,Male,45,0,0,1,0,0,84663.21,0
1069,15675431,Chidimma,563,France,Female,34,6,0,2,0,0,36536.93,0
1070,15698285,Ting,676,France,Female,41,4,101457.14,1,1,1,79101.67,0
1071,15810775,Tsao,576,Spain,Male,52,2,100549.43,2,1,1,16644.16,0
1072,15678173,Collee,629,Spain,Male,35,4,174588.8,2,0,1,158420.14,0
1073,15665222,Lettiere,625,Spain,Male,52,8,121161.57,1,1,0,48988.28,0
1074,15803908,Fu,628,France,Male,45,9,0,2,1,1,96862.56,0
1075,15586039,Bergamaschi,471,Germany,Female,36,5,90063.74,2,1,1,96366.7,0
1076,15802570,Dyer,811,France,Female,45,5,0,2,1,1,146123.19,0
1077,15781451,Buccho,504,France,Male,42,3,134936.97,2,0,0,135178.91,0
1078,15721019,Jones,687,France,Female,24,3,110495.27,1,1,0,158615.41,0
1079,15738588,Nebechi,660,Germany,Female,37,2,133200.09,1,0,0,71433.88,0
1080,15730657,Ibekwe,548,France,Female,41,4,82596.8,1,0,1,55672.09,0
1081,15739292,Gorshkov,609,Germany,Male,31,9,103837.75,1,1,1,150218.11,0
1082,15725945,Nweke,659,Spain,Female,42,2,0,1,0,0,162734.31,1
1083,15813159,Hairston,526,France,Male,52,8,93590.47,1,0,1,21228.71,1
1084,15636820,Loggia,725,Germany,Male,40,8,104149.66,1,1,0,62027.9,0
1085,15603880,Morgan,519,Germany,Male,38,1,114141.64,1,1,1,60988.21,1
1086,15619494,Abdulov,562,Germany,Female,31,9,117153,1,1,1,108675.01,0
1087,15596992,Norris,482,Germany,Male,45,7,156353.46,1,1,0,72643.95,1
1088,15735025,Clark,535,Spain,Male,37,3,175534.78,2,1,1,9241.52,0
1089,15730759,Chukwudi,561,France,Female,27,9,135637,1,1,0,153080.4,1
1090,15752912,Perkin,661,France,Female,30,7,0,2,1,0,72196.57,0
1091,15711316,Ch'ang,771,France,Male,27,2,0,2,1,1,199527.34,0
1092,15738785,Kang,545,France,Male,26,7,0,2,0,1,156598.23,0
1093,15777896,Chukwudi,850,Germany,Female,33,2,83415.04,1,0,1,74917.64,0
1094,15628963,Frolova,601,Germany,Male,43,3,141859.12,2,1,1,111249.62,0
1095,15742126,Chiu,712,Germany,Male,38,7,132767.66,2,1,1,59115.77,0
1096,15575623,Simpson,589,France,Female,31,10,110635.32,1,1,0,148218.86,0
1097,15741652,McLean,600,Spain,Male,37,8,177657.35,1,1,1,77142.32,0
1098,15738884,Hu,642,Germany,Male,41,4,157777.58,1,1,0,67484.6,0
1099,15615050,Savage,575,Germany,Male,47,9,107915.94,2,1,1,63452.18,1
1100,15803005,Wallace,570,Germany,Female,57,5,86568.75,1,0,1,103660.31,0
1101,15743498,Winter,532,Germany,Male,52,9,137755.76,1,1,0,163191.99,1
1102,15720463,Ho,796,France,Male,30,2,137262.71,2,1,0,62905.29,0
1103,15588695,Su,833,Spain,Male,32,6,0,1,1,1,44323.22,1
1104,15665802,Li Fonti,642,Spain,Female,36,6,0,2,1,1,97938.59,0
1105,15571144,Ives,655,France,Male,28,10,0,2,0,1,126565.21,0
1106,15750731,Trevisani,736,Germany,Male,50,9,116309.01,1,1,0,185360.4,1
1107,15605134,Bond,617,France,Female,34,0,131244.65,2,1,0,183229.02,0
1108,15626044,Lettiere,762,Germany,Male,28,3,125155.83,2,1,1,106024.02,0
1109,15737910,Houghton,703,Germany,Male,35,5,140691.08,2,1,0,167810.26,0
1110,15761076,Lei,507,France,Male,41,3,58820.32,2,1,1,138536.09,0
1111,15710105,Stirling,581,Germany,Female,26,3,105099.45,1,1,1,184520,1
1112,15577402,Grant,593,France,Male,31,9,0,2,0,1,20492.16,0
1113,15803337,Baresi,648,France,Male,23,9,168372.52,1,1,0,134676.72,0
1114,15654372,Pearce,462,Germany,Male,34,1,94682.56,2,1,0,138478.2,0
1115,15585867,Rutledge,596,Spain,Male,36,2,0,2,0,1,125557.95,0
1116,15662488,Udegbunam,627,France,Female,44,5,0,2,1,0,82969.61,1
1117,15604813,Zaytseva,494,France,Male,40,7,0,2,0,1,158071.69,0
1118,15611644,Onyemauchechukwu,627,France,Male,73,0,146329.73,1,0,1,43615.67,0
1119,15674928,Mullah,850,Spain,Male,37,2,0,2,1,0,119969.99,0
1120,15656100,Candler,632,France,Female,49,5,167962.7,1,0,0,140201.21,0
1121,15764293,Konovalova,490,France,Male,33,1,0,2,1,1,80792.83,0
1122,15636423,Lei,715,France,Male,40,7,0,1,1,1,141359.11,0
1123,15607629,Hollis,679,France,Male,48,8,0,2,1,0,23344.94,0
1124,15577313,Lionel,619,France,Male,44,3,116967.68,1,1,0,5075.17,1
1125,15714493,Francis,465,Spain,Female,33,6,0,2,1,1,95500.98,0
1126,15643359,Carter,736,Spain,Male,32,7,0,1,0,1,79082.62,0
1127,15687913,Mai,501,Germany,Female,34,7,93244.42,1,0,1,199805.63,0
1128,15790935,Johnson,535,France,Female,29,5,0,2,0,1,52709.55,0
1129,15708693,Sherman,759,France,Female,33,2,0,2,1,0,56583.88,0
1130,15672016,Sabbatini,819,France,Male,35,1,0,2,0,1,3385.04,0
1131,15727605,Shih,533,Germany,Male,43,4,80442.06,2,0,1,12537.42,0
1132,15651144,Yao,632,Germany,Female,35,2,150561.03,2,0,0,64722.61,0
1133,15749401,Ko,686,France,Male,60,9,0,3,1,1,75246.21,1
1134,15691874,Kazakova,687,France,Female,34,9,125474.44,1,1,0,198929.84,0
1135,15620735,Chiganu,667,Germany,Female,33,4,127076.68,2,1,0,69011.66,0
1136,15769781,Nucci,699,Spain,Female,25,8,0,2,1,1,52404.47,0
1137,15624611,Marsden,497,Spain,Male,37,8,128650.11,2,1,1,163641.53,0
1138,15773071,Serena,780,Spain,Female,33,6,145580.61,1,1,1,154598.56,0
1139,15720371,McLean,652,France,Female,51,3,0,1,1,0,173989.47,1
1140,15717984,Longo,477,France,Male,47,9,144900.58,1,1,0,61315.37,1
1141,15806407,Wilson,652,France,Female,37,4,0,2,1,0,143393.24,0
1142,15785042,Hsiung,488,France,Female,31,8,97588.6,1,0,0,124210.53,0
1143,15809302,Wright,572,France,Male,24,1,0,2,1,1,151460.84,0
1144,15677550,Folliero,755,France,Female,38,1,0,2,1,0,20734.81,0
1145,15654096,Johnston,779,Germany,Female,24,10,122200.31,2,1,0,43705.56,0
1146,15617320,Palermo,693,Spain,Female,46,3,151709.33,1,1,0,180736.24,0
1147,15653065,Nwabugwu,530,Spain,Female,22,7,0,2,1,0,104170.48,0
1148,15649112,Endrizzi,738,Spain,Female,33,3,122134.4,2,0,1,27867.59,0
1149,15690526,Tuan,690,Germany,Male,31,2,137260.45,2,1,0,55387.28,0
1150,15806945,Udobata,611,France,Female,30,9,88594.14,1,1,0,196332.45,0
1151,15670066,Ibezimako,643,Spain,Male,34,6,0,2,1,1,116046.22,0
1152,15625761,Maclean,632,Germany,Male,41,8,127205.32,4,1,0,93874.87,1
1153,15761525,Shaw,727,Spain,Female,31,10,96997.09,2,0,0,76614.04,0
1154,15735080,Cummins,508,France,Female,64,2,0,1,1,1,6076.62,0
1155,15619537,Lavrentiev,550,France,Male,31,5,142200.19,2,1,1,122221.71,0
1156,15598162,Saunders,754,Germany,Female,39,3,160761.41,1,1,1,24156.03,0
1157,15694300,Fiorentino,759,France,Male,26,4,0,2,1,0,135394.62,0
1158,15637235,Knight,794,Spain,Male,33,8,0,2,0,0,91340.02,0
1159,15612444,Manfrin,549,France,Male,29,3,0,2,1,0,146090.38,0
1160,15626457,Zetticci,671,France,Male,31,0,116234.61,1,1,0,172096.08,0
1161,15627995,Angelo,756,Germany,Female,26,5,155143.52,1,0,1,135034.57,1
1162,15706128,Zhdanov,632,France,Female,21,1,0,2,1,0,84008.66,0
1163,15666430,Peck,579,France,Male,38,8,0,2,0,0,91763.67,0
1164,15627385,Uwaezuoke,748,France,Male,34,5,84009.47,1,1,1,137001.1,0
1165,15581323,White,488,Germany,Female,28,7,139246.22,2,1,0,106799.49,0
1166,15608109,Greco,710,Germany,Male,58,7,170113,2,0,1,10494.64,0
1167,15801942,Chu,619,Spain,Female,41,8,0,3,1,1,79866.73,1
1168,15567431,Kodilinyechukwu,773,France,Male,64,2,145578.28,1,0,1,186172.85,0
1169,15810167,Scott,657,Spain,Male,75,7,126273.95,1,0,1,91673.6,0
1170,15644501,Enyinnaya,579,France,Female,26,10,162482.76,1,1,1,18458.2,0
1171,15785290,Hao,542,France,Male,29,9,0,1,1,0,8342.35,0
1172,15611157,McElhone,709,France,Female,32,2,87814.89,1,1,0,138578.37,0
1173,15673837,Ko,617,Spain,Male,61,3,113858.95,1,1,1,38129.22,0
1174,15656822,Day,568,Germany,Male,43,5,87612.64,4,1,1,107155.4,1
1175,15580560,Harris,769,France,Female,73,1,0,1,1,1,29792.11,0
1176,15760641,Gerald,608,Germany,Male,26,1,106648.98,1,0,1,7063.6,0
1177,15587584,Nebeuwa,503,Spain,Male,31,4,0,2,1,1,21645.06,0
1178,15604146,Kaodilinakachukwu,608,Germany,Female,38,8,103653.51,2,1,1,137079.86,0
1179,15813974,Maruff,731,Germany,Male,37,3,116880.53,1,0,0,172718.35,1
1180,15746986,Howe,850,Germany,Female,40,4,97990.49,2,0,0,106691.02,0
1181,15759741,Knepper,591,Germany,Female,34,4,150635.3,1,1,1,72274.84,0
1182,15734892,Fennell,579,Spain,Male,37,4,0,2,1,1,32246.63,0
1183,15797194,T'ao,570,France,Male,39,10,129674.89,2,1,0,80552.36,0
1184,15723786,Morris,709,France,Female,37,9,0,2,1,0,16733.59,0
1185,15642726,Holmes,611,France,Male,53,3,83568.26,1,0,0,1235.49,0
1186,15664339,Yu,775,Spain,Male,48,4,178144.91,2,0,0,50168.41,1
1187,15754526,Walker,699,Germany,Male,36,6,147137.74,1,1,1,33687.9,0
1188,15703037,Edwards,618,France,Male,37,5,0,1,0,1,178705.45,1
1189,15751412,Harvey,704,France,Male,36,3,114370.41,1,0,1,66810.48,0
1190,15609558,McDonald,835,Germany,Female,47,5,108289.28,2,1,1,45859.55,1
1191,15572408,Chambers,714,Germany,Male,39,3,149887.49,2,1,0,63846.36,0
1192,15613923,Reed,581,Spain,Female,43,4,170172.9,1,0,1,100236.02,0
1193,15747000,Shih,592,France,Male,27,3,0,2,1,1,19645.65,0
1194,15731781,Onyemachukwu,551,France,Male,43,7,0,2,1,0,178393.68,0
1195,15727198,Teng,689,Germany,Female,28,2,64808.32,2,0,0,78591.15,0
1196,15794273,Hand,604,France,Female,56,0,62732.65,1,0,1,124954.56,0
1197,15804950,Onyemauchechukwu,514,France,Female,41,7,0,2,1,1,3756.65,0
1198,15576304,Bailey,698,France,Male,29,5,95167.55,1,1,1,152723.23,0
1199,15645200,Chiang,581,Germany,Female,54,2,152508.99,1,1,0,187597.98,1
1200,15779627,Maclean,573,Germany,Male,31,0,134644.19,1,1,1,70381.49,0
1201,15750755,Yobachi,449,Spain,Female,33,8,0,2,0,0,156792.89,0
1202,15569654,Munro,850,Germany,Female,31,3,51293.47,1,0,0,35534.68,0
1203,15753079,Chidi,612,France,Male,41,5,0,3,0,0,151256.22,0
1204,15684995,Chamberlain,690,Spain,Male,49,8,116622.73,1,0,1,51011.29,0
1205,15790763,Trujillo,599,Spain,Female,49,2,0,2,1,0,111190.53,0
1206,15766458,Tang,498,France,Male,33,1,198113.86,1,1,0,69664.35,0
1207,15616221,Wilson,497,France,Female,29,4,85646.81,1,0,0,63233.02,1
1208,15776124,Mann,802,Spain,Male,51,7,0,1,0,1,40855.79,0
1209,15665811,Parry,644,France,Male,33,9,141234.98,1,1,0,95673.05,0
1210,15729804,Manfrin,714,France,Male,34,10,0,2,1,1,80234.14,0
1211,15714062,Millar,690,France,Female,40,9,77641.99,1,0,0,189051.59,1
1212,15592197,Simmons,522,Spain,Male,30,3,0,2,1,0,145490.85,0
1213,15793116,Beneventi,502,Germany,Female,40,7,117304.29,1,0,0,196278.32,0
1214,15638231,Chung,730,Spain,Female,62,2,0,2,1,1,162889.1,0
1215,15697678,Maxwell,590,Germany,Male,36,6,92340.69,2,1,1,174667.58,0
1216,15800412,Dale,458,Germany,Male,35,9,146780.52,2,1,1,3476.38,0
1217,15597610,Stevens,553,Spain,Male,41,6,144974.55,1,1,1,19344.92,0
1218,15726634,Wei,479,France,Male,47,1,0,1,1,0,95270.83,0
1219,15670866,Chiu,693,France,Male,31,2,0,2,1,1,107759.31,0
1220,15667462,Duncan,707,Spain,Male,43,10,0,2,1,0,118368.2,0
1221,15662574,Brady,636,Spain,Male,37,1,115137.26,1,1,0,52484.01,0
1222,15716926,Macleod,807,France,Male,33,10,101952.97,2,1,0,178153.65,0
1223,15603554,Berkeley,513,France,Female,45,0,164649.52,3,1,0,49915.52,1
1224,15716800,Kaur,582,France,Male,31,2,0,2,1,1,33747.03,0
1225,15679429,Bell,694,France,Male,32,0,91956.49,1,1,1,59961.81,0
1226,15616122,Nwokike,777,France,Male,39,8,0,2,1,1,18613.52,0
1227,15742172,Williamson,598,Germany,Male,32,9,123938.6,2,1,0,198894.42,0
1228,15792305,Mountgarrett,762,Germany,Male,46,6,123571.77,3,0,1,57014.17,1
1229,15636016,Wreford,588,France,Female,34,3,120777.88,1,1,1,131729.52,0
1230,15733138,Paterson,663,Germany,Male,42,5,90248.79,1,1,1,79169.73,0
1231,15669741,Hou,777,France,Male,36,7,0,1,1,0,106472.34,0
1232,15616954,Smith,592,France,Male,71,4,0,2,0,1,17013.54,0
1233,15729238,Peng,631,Germany,Male,48,1,106396.48,1,1,1,150661.42,1
1234,15718242,Wollstonecraft,725,Germany,Female,47,1,104887.43,1,0,0,86622.56,1
1235,15682914,Bolton,850,France,Male,34,2,72079.71,1,1,1,115767.93,0
1236,15654274,Corrie,540,France,Male,37,6,0,2,1,0,141998.89,0
1237,15691457,Boyle,674,Spain,Male,36,2,0,2,1,1,182787.17,0
1238,15719649,Lambie,553,France,Male,38,3,99844.68,1,0,0,187915.7,0
1239,15778897,Cartwright,630,France,Female,28,1,0,2,1,1,133267.78,0
1240,15589437,Lu,466,France,Male,26,3,156815.71,1,1,1,137476.09,0
1241,15682369,Pisano,613,France,Male,47,6,146034.74,1,1,1,77146.14,0
1242,15626507,Chukwubuikem,558,France,Male,27,1,152283.39,1,1,0,183271.15,0
1243,15571995,Harper,775,Germany,Female,33,1,118897.1,2,1,1,26362.4,0
1244,15673333,Wilson,698,Germany,Male,52,8,96781.39,1,1,1,153373.71,0
1245,15748752,Ch'in,608,Germany,Male,33,1,102772.67,2,1,0,70705.58,0
1246,15725302,Streeton,670,Spain,Female,20,4,0,2,1,0,119759.24,0
1247,15722083,Ch'ang,591,Spain,Male,39,8,0,2,0,0,42392.24,0
1248,15771442,Pennington,633,France,Male,40,4,150578,1,0,1,34670.62,1
1249,15803633,T'ien,678,France,Female,46,1,0,2,0,0,82106.19,0
1250,15672185,Liu,590,France,Male,47,3,0,2,1,0,171774.5,0
1251,15806486,Cunningham,705,France,Female,48,0,0,2,0,0,149772.61,0
1252,15570895,Ch'in,608,France,Male,42,10,163548.07,1,1,0,38866.85,0
1253,15614520,Smith,682,France,Female,37,8,148580.12,1,1,0,35179.18,0
1254,15687492,Anderson,596,Germany,Male,32,3,96709.07,2,0,0,41788.37,0
1255,15675337,Forbes,395,Germany,Female,34,5,106011.59,1,1,1,17376.57,1
1256,15721047,Ansell,578,Germany,Male,37,1,135650.88,1,1,0,199428.19,0
1257,15589017,Chiu,547,Germany,Male,55,4,111362.76,3,1,0,16922.28,1
1258,15611186,Yevdokimova,609,France,Male,37,1,39344.83,1,1,1,178291.89,1
1259,15617301,Chamberlin,774,Germany,Male,36,9,130809.77,1,1,0,152290.28,0
1260,15726046,Johnston,712,France,Female,27,2,133009.51,1,1,0,126809.15,0
1261,15585748,McDonald,585,Germany,Female,28,9,135337.49,2,1,1,40385.61,0
1262,15672826,Chen,666,France,Female,32,10,112536.57,2,1,1,34350.54,0
1263,15595162,Cattaneo,708,Spain,Female,35,8,122570.69,1,0,0,199005.88,0
1264,15650026,Barclay-Harvey,513,France,Male,44,1,63562.02,2,0,1,52629.73,1
1265,15745826,Dawson,445,France,Male,37,3,0,2,1,1,180012.39,0
1266,15708610,Costa,690,Germany,Male,44,9,100368.63,2,0,0,35342.33,0
1267,15624471,Chikwado,850,France,Male,37,6,0,2,1,0,109291.22,0
1268,15590097,Ch'eng,537,Spain,Female,33,7,136082,1,1,0,62746.54,0
1269,15689328,Harrison,705,Germany,Male,48,9,114169.16,1,0,0,173273.2,1
1270,15582154,Crawford,670,France,Female,45,5,47884.92,1,1,1,54340.24,0
1271,15734626,Gibson,652,Spain,Female,36,1,0,2,1,1,19302.78,0
1272,15702806,Martin,696,Spain,Male,24,9,0,1,0,0,10883.52,0
1273,15620756,Stokes,747,France,Male,49,6,202904.64,1,1,1,17298.72,1
1274,15611331,Niu,511,France,Female,46,1,0,1,1,1,115779.48,1
1275,15576935,Ampt,743,Spain,Male,43,2,161807.18,2,0,1,93228.86,1
1276,15661275,Wynn,532,Germany,Male,52,3,110791.97,1,1,0,148704.77,1
1277,15814940,Lawrence,642,Spain,Female,33,9,0,2,1,1,150475.14,0
1278,15768471,Wagner,554,Germany,Female,54,6,108755,1,1,0,40914.32,1
1279,15697391,Argyle,604,Spain,Female,34,3,0,2,1,0,38587.7,0
1280,15793346,Ofodile,602,France,Female,72,3,0,2,1,1,171260.66,0
1281,15608338,Chiemenam,757,Spain,Female,55,9,117294.12,4,1,0,94187.47,1
1282,15578546,Akobundu,491,Germany,Male,26,4,102251.14,1,1,1,145900.89,0
1283,15656921,Locke,850,France,Male,31,4,0,2,0,0,152298.28,0
1284,15761340,Bullen,521,France,Male,22,5,0,2,1,1,99828.45,0
1285,15591135,Forster,726,France,Male,37,2,132057.92,2,1,0,34743.98,0
1286,15623219,Smith,596,France,Male,33,8,0,1,1,0,121189.3,1
1287,15655229,Craig,850,Germany,Female,35,7,114285.2,1,0,1,129660.59,0
1288,15805884,Archer,637,France,Female,41,9,0,2,1,0,145477.36,0
1289,15668289,McWilliams,690,Spain,Male,32,2,76087.98,1,0,1,151822.66,0
1290,15568562,Moss,689,France,Male,40,8,160272.27,1,1,0,49656.24,0
1291,15773276,Townsend,633,Spain,Male,63,4,114552.6,1,1,0,73856.28,1
1292,15622801,Brown,555,France,Female,27,8,102000.17,1,1,1,116757,0
1293,15779886,Munson,563,Spain,Male,24,7,0,2,0,0,16319.56,0
1294,15713673,T'ien,494,France,Female,33,1,137853,1,0,1,90273.85,0
1295,15783083,Shubin,534,France,Male,27,9,0,2,1,0,161344.13,0
1296,15742824,Isayeva,696,Germany,Male,42,7,162318.61,1,1,0,121061.89,0
1297,15621550,Hung,535,Spain,Female,50,1,140292.58,3,0,0,69531.22,1
1298,15799480,Webb,600,France,Male,34,0,0,2,0,1,3756.23,0
1299,15625247,Scott,807,France,Female,34,1,0,1,0,0,114448.13,0
1300,15755241,Rahman,714,France,Female,52,2,0,1,0,1,144045.08,1
1301,15575679,Lori,590,France,Male,24,7,126431.54,1,1,0,58781.11,0
1302,15668235,Cooke,614,France,Female,41,3,123475.04,1,1,1,179227.52,0
